I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 21:50:43.050895       1 controller.go:178] controllers/controller/storageaccountsmanagementpolicy "msg"="Starting EventSource" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsManagementPolicy" "source"="kind source: *v1beta20210401storage.StorageAccountsManagementPolicy"
I1019 21:50:43.050912       1 controller.go:186] controllers/controller/storageaccountsmanagementpolicy "msg"="Starting Controller" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsManagementPolicy" 
I1019 21:50:43.051104       1 controller.go:178] controllers/controller/alias "msg"="Starting EventSource" "reconciler group"="subscription.azure.com" "reconciler kind"="Alias" "source"="kind source: *v1beta20211001storage.Alias"
I1019 21:50:43.051175       1 controller.go:186] controllers/controller/alias "msg"="Starting Controller" "reconciler group"="subscription.azure.com" "reconciler kind"="Alias" 
I1019 21:50:43.051271       1 controller.go:178] controllers/controller/storageaccountsqueueservicesqueue "msg"="Starting EventSource" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsQueueServicesQueue" "source"="kind source: *v1beta20210401storage.StorageAccountsQueueServicesQueue"
I1019 21:50:43.051332       1 controller.go:186] controllers/controller/storageaccountsqueueservicesqueue "msg"="Starting Controller" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsQueueServicesQueue" 
I1019 21:50:43.051510       1 controller.go:178] controllers/controller/user "msg"="Starting EventSource" "reconciler group"="dbformysql.azure.com" "reconciler kind"="User" "source"="kind source: *v1beta1.User"
I1019 21:50:43.051613       1 controller.go:178] controllers/controller/user "msg"="Starting EventSource" "reconciler group"="dbformysql.azure.com" "reconciler kind"="User" "source"="kind source: *v1.Secret"
I1019 21:50:43.051687       1 controller.go:186] controllers/controller/user "msg"="Starting Controller" "reconciler group"="dbformysql.azure.com" "reconciler kind"="User" 
I1019 21:50:43.051815       1 controller.go:178] controllers/controller/resourcegroup "msg"="Starting EventSource" "reconciler group"="resources.azure.com" "reconciler kind"="ResourceGroup" "source"="kind source: *v1beta20200601.ResourceGroup"
I1019 21:50:43.051884       1 controller.go:186] controllers/controller/resourcegroup "msg"="Starting Controller" "reconciler group"="resources.azure.com" "reconciler kind"="ResourceGroup" 
I1019 21:50:53.141775       1 trace.go:205] Trace[1382607831]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.037) (total time: 10104ms):
Trace[1382607831]: ---"Objects listed" error:<nil> 10104ms (21:50:53.141)
Trace[1382607831]: [10.104429387s] [10.104429387s] END
I1019 21:50:53.876651       1 trace.go:205] Trace[696662892]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.037) (total time: 10839ms):
Trace[696662892]: ---"Objects listed" error:<nil> 10839ms (21:50:53.876)
Trace[696662892]: [10.839441436s] [10.839441436s] END
I1019 21:50:54.211130       1 trace.go:205] Trace[354066585]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.039) (total time: 11171ms):
Trace[354066585]: ---"Objects listed" error:<nil> 11171ms (21:50:54.211)
Trace[354066585]: [11.171693476s] [11.171693476s] END
I1019 21:50:54.502094       1 trace.go:205] Trace[492313526]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.041) (total time: 11460ms):
Trace[492313526]: ---"Objects listed" error:<nil> 11460ms (21:50:54.502)
Trace[492313526]: [11.4607358s] [11.4607358s] END
I1019 21:50:54.790088       1 trace.go:205] Trace[1898903105]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.042) (total time: 11747ms):
Trace[1898903105]: ---"Objects listed" error:<nil> 11747ms (21:50:54.790)
Trace[1898903105]: [11.747245165s] [11.747245165s] END
I1019 21:50:55.164225       1 trace.go:205] Trace[1122889814]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.043) (total time: 12121ms):
Trace[1122889814]: ---"Objects listed" error:<nil> 12121ms (21:50:55.164)
Trace[1122889814]: [12.121133354s] [12.121133354s] END
I1019 21:50:55.885344       1 trace.go:205] Trace[538203743]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.043) (total time: 12841ms):
Trace[538203743]: ---"Objects listed" error:<nil> 12841ms (21:50:55.885)
Trace[538203743]: [12.841726158s] [12.841726158s] END
I1019 21:50:56.149026       1 trace.go:205] Trace[1474492336]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.043) (total time: 13105ms):
Trace[1474492336]: ---"Objects listed" error:<nil> 13105ms (21:50:56.148)
Trace[1474492336]: [13.105348082s] [13.105348082s] END
I1019 21:50:56.538401       1 trace.go:205] Trace[1213275486]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.043) (total time: 13494ms):
Trace[1213275486]: ---"Objects listed" error:<nil> 13494ms (21:50:56.538)
Trace[1213275486]: [13.494648048s] [13.494648048s] END
I1019 21:50:57.276914       1 trace.go:205] Trace[245438448]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.044) (total time: 14232ms):
Trace[245438448]: ---"Objects listed" error:<nil> 14232ms (21:50:57.276)
Trace[245438448]: [14.232563916s] [14.232563916s] END
I1019 21:50:57.561109       1 trace.go:205] Trace[631366891]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.044) (total time: 14517ms):
Trace[631366891]: ---"Objects listed" error:<nil> 14516ms (21:50:57.561)
Trace[631366891]: [14.517005177s] [14.517005177s] END
I1019 21:50:57.849790       1 trace.go:205] Trace[952787470]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.045) (total time: 14804ms):
Trace[952787470]: ---"Objects listed" error:<nil> 14804ms (21:50:57.849)
Trace[952787470]: [14.804747482s] [14.804747482s] END
I1019 21:50:58.135759       1 trace.go:205] Trace[1224954691]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.044) (total time: 15090ms):
Trace[1224954691]: ---"Objects listed" error:<nil> 15090ms (21:50:58.135)
Trace[1224954691]: [15.090910764s] [15.090910764s] END
I1019 21:50:58.386718       1 trace.go:205] Trace[735102471]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.045) (total time: 15341ms):
Trace[735102471]: ---"Objects listed" error:<nil> 15341ms (21:50:58.386)
Trace[735102471]: [15.341177039s] [15.341177039s] END
I1019 21:50:58.630751       1 trace.go:205] Trace[964458338]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.045) (total time: 15585ms):
Trace[964458338]: ---"Objects listed" error:<nil> 15585ms (21:50:58.630)
Trace[964458338]: [15.585077737s] [15.585077737s] END
I1019 21:50:58.892950       1 trace.go:205] Trace[1803237489]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.045) (total time: 15846ms):
Trace[1803237489]: ---"Objects listed" error:<nil> 15846ms (21:50:58.892)
Trace[1803237489]: [15.846994343s] [15.846994343s] END
I1019 21:50:59.164223       1 trace.go:205] Trace[1258413306]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.045) (total time: 16118ms):
Trace[1258413306]: ---"Objects listed" error:<nil> 16118ms (21:50:59.164)
Trace[1258413306]: [16.118606657s] [16.118606657s] END
I1019 21:50:59.420299       1 trace.go:205] Trace[2062443506]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.046) (total time: 16373ms):
Trace[2062443506]: ---"Objects listed" error:<nil> 16373ms (21:50:59.420)
Trace[2062443506]: [16.373833889s] [16.373833889s] END
I1019 21:50:59.699598       1 trace.go:205] Trace[1841724183]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.046) (total time: 16653ms):
Trace[1841724183]: ---"Objects listed" error:<nil> 16653ms (21:50:59.699)
Trace[1841724183]: [16.653131193s] [16.653131193s] END
I1019 21:50:59.854613       1 trace.go:205] Trace[870547794]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.046) (total time: 16808ms):
Trace[870547794]: ---"Objects listed" error:<nil> 16808ms (21:50:59.854)
Trace[870547794]: [16.808339472s] [16.808339472s] END
I1019 21:51:00.121352       1 trace.go:205] Trace[2120772012]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.046) (total time: 17074ms):
Trace[2120772012]: ---"Objects listed" error:<nil> 17074ms (21:51:00.121)
Trace[2120772012]: [17.074552929s] [17.074552929s] END
I1019 21:51:00.304856       1 trace.go:205] Trace[235528303]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.046) (total time: 17257ms):
Trace[235528303]: ---"Objects listed" error:<nil> 17257ms (21:51:00.304)
Trace[235528303]: [17.257843332s] [17.257843332s] END
I1019 21:51:00.474400       1 trace.go:205] Trace[1733463044]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.048) (total time: 17426ms):
Trace[1733463044]: ---"Objects listed" error:<nil> 17426ms (21:51:00.474)
Trace[1733463044]: [17.426188569s] [17.426188569s] END
I1019 21:51:00.744081       1 trace.go:205] Trace[1898388269]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.048) (total time: 17695ms):
Trace[1898388269]: ---"Objects listed" error:<nil> 17695ms (21:51:00.744)
Trace[1898388269]: [17.695386359s] [17.695386359s] END
I1019 21:51:00.992261       1 trace.go:205] Trace[2017919464]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.047) (total time: 17944ms):
Trace[2017919464]: ---"Objects listed" error:<nil> 17944ms (21:51:00.992)
Trace[2017919464]: [17.944761914s] [17.944761914s] END
I1019 21:51:01.271931       1 trace.go:205] Trace[781528774]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.049) (total time: 18222ms):
Trace[781528774]: ---"Objects listed" error:<nil> 18222ms (21:51:01.271)
Trace[781528774]: [18.222772911s] [18.222772911s] END
I1019 21:51:01.572284       1 trace.go:205] Trace[1374699253]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.050) (total time: 18522ms):
Trace[1374699253]: ---"Objects listed" error:<nil> 18522ms (21:51:01.572)
Trace[1374699253]: [18.522224151s] [18.522224151s] END
I1019 21:51:01.894651       1 trace.go:205] Trace[1133139990]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.050) (total time: 18843ms):
Trace[1133139990]: ---"Objects listed" error:<nil> 18843ms (21:51:01.894)
Trace[1133139990]: [18.843790296s] [18.843790296s] END
I1019 21:51:02.277327       1 trace.go:205] Trace[1424163336]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.047) (total time: 19229ms):
Trace[1424163336]: ---"Objects listed" error:<nil> 19229ms (21:51:02.277)
Trace[1424163336]: [19.229574182s] [19.229574182s] END
I1019 21:51:02.350357       1 controller.go:220] controllers/controller/routetablesroute "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="RouteTablesRoute" "worker count"=1
I1019 21:51:02.350525       1 controller.go:220] controllers/controller/virtualnetworkssubnet "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="VirtualNetworksSubnet" "worker count"=1
I1019 21:51:03.130105       1 trace.go:205] Trace[721961369]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.051) (total time: 20078ms):
Trace[721961369]: ---"Objects listed" error:<nil> 20078ms (21:51:03.130)
Trace[721961369]: [20.078982011s] [20.078982011s] END
I1019 21:51:03.281734       1 trace.go:205] Trace[941478962]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.051) (total time: 20230ms):
Trace[941478962]: ---"Objects listed" error:<nil> 20230ms (21:51:03.281)
Trace[941478962]: [20.230137177s] [20.230137177s] END
I1019 21:51:03.606411       1 trace.go:205] Trace[1306388554]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 20554ms):
Trace[1306388554]: ---"Objects listed" error:<nil> 20554ms (21:51:03.606)
Trace[1306388554]: [20.554313463s] [20.554313463s] END
I1019 21:51:03.960420       1 trace.go:205] Trace[1233582361]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 20908ms):
Trace[1233582361]: ---"Objects listed" error:<nil> 20908ms (21:51:03.960)
Trace[1233582361]: [20.908020992s] [20.908020992s] END
I1019 21:51:04.260617       1 trace.go:205] Trace[1855309707]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 21207ms):
Trace[1855309707]: ---"Objects listed" error:<nil> 21207ms (21:51:04.260)
Trace[1855309707]: [21.207806092s] [21.207806092s] END
I1019 21:51:04.419411       1 trace.go:205] Trace[1593171978]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 21366ms):
Trace[1593171978]: ---"Objects listed" error:<nil> 21366ms (21:51:04.419)
Trace[1593171978]: [21.366184943s] [21.366184943s] END
I1019 21:51:04.712772       1 trace.go:205] Trace[737230598]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 21660ms):
Trace[737230598]: ---"Objects listed" error:<nil> 21660ms (21:51:04.712)
Trace[737230598]: [21.66018627s] [21.66018627s] END
I1019 21:51:05.020229       1 trace.go:205] Trace[1699581364]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 21967ms):
Trace[1699581364]: ---"Objects listed" error:<nil> 21967ms (21:51:05.020)
Trace[1699581364]: [21.967206655s] [21.967206655s] END
I1019 21:51:05.319808       1 trace.go:205] Trace[1911014438]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 22266ms):
Trace[1911014438]: ---"Objects listed" error:<nil> 22266ms (21:51:05.319)
Trace[1911014438]: [22.266458049s] [22.266458049s] END
I1019 21:51:05.591823       1 trace.go:205] Trace[1666796990]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 22538ms):
Trace[1666796990]: ---"Objects listed" error:<nil> 22538ms (21:51:05.591)
Trace[1666796990]: [22.538674524s] [22.538674524s] END
I1019 21:51:05.875718       1 trace.go:205] Trace[517346024]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 22821ms):
Trace[517346024]: ---"Objects listed" error:<nil> 22821ms (21:51:05.875)
Trace[517346024]: [22.821709631s] [22.821709631s] END
I1019 21:51:06.137944       1 trace.go:205] Trace[419809449]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 23085ms):
Trace[419809449]: ---"Objects listed" error:<nil> 23084ms (21:51:06.137)
Trace[419809449]: [23.085004298s] [23.085004298s] END
I1019 21:51:06.435369       1 trace.go:205] Trace[570085870]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 23381ms):
Trace[570085870]: ---"Objects listed" error:<nil> 23381ms (21:51:06.435)
Trace[570085870]: [23.381541863s] [23.381541863s] END
I1019 21:51:06.700517       1 trace.go:205] Trace[7324540]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.054) (total time: 23646ms):
Trace[7324540]: ---"Objects listed" error:<nil> 23646ms (21:51:06.700)
Trace[7324540]: [23.646422456s] [23.646422456s] END
I1019 21:51:07.005757       1 trace.go:205] Trace[349359479]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 23952ms):
Trace[349359479]: ---"Objects listed" error:<nil> 23952ms (21:51:07.005)
Trace[349359479]: [23.952308921s] [23.952308921s] END
I1019 21:51:07.318994       1 trace.go:205] Trace[143189877]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 24265ms):
Trace[143189877]: ---"Objects listed" error:<nil> 24265ms (21:51:07.318)
Trace[143189877]: [24.265275875s] [24.265275875s] END
I1019 21:51:07.529912       1 trace.go:205] Trace[1106773309]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.052) (total time: 24477ms):
Trace[1106773309]: ---"Objects listed" error:<nil> 24477ms (21:51:07.529)
Trace[1106773309]: [24.477250443s] [24.477250443s] END
I1019 21:51:07.652665       1 trace.go:205] Trace[1881820358]: "Reflector ListAndWatch" name:pkg/mod/k8s.io/client-go@v0.24.0-beta.0/tools/cache/reflector.go:167 (19-Oct-2022 21:50:43.053) (total time: 24599ms):
Trace[1881820358]: ---"Objects listed" error:<nil> 24599ms (21:51:07.652)
Trace[1881820358]: [24.599040669s] [24.599040669s] END
I1019 21:51:07.652814       1 controller.go:220] controllers/controller/storageaccountsqueueservicesqueue "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsQueueServicesQueue" "worker count"=1
I1019 21:51:07.652892       1 controller.go:220] controllers/controller/storageaccountsblobservicescontainer "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsBlobServicesContainer" "worker count"=1
I1019 21:51:07.653577       1 controller.go:220] controllers/controller/resourcegroup "msg"="Starting workers" "reconciler group"="resources.azure.com" "reconciler kind"="ResourceGroup" "worker count"=1
I1019 21:51:07.653651       1 controller.go:220] controllers/controller/virtualnetworksvirtualnetworkpeering "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="VirtualNetworksVirtualNetworkPeering" "worker count"=1
I1019 21:51:07.653685       1 controller.go:220] controllers/controller/namespacesqueue "msg"="Starting workers" "reconciler group"="servicebus.azure.com" "reconciler kind"="NamespacesQueue" "worker count"=1
I1019 21:51:07.653754       1 controller.go:220] controllers/controller/routetable "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="RouteTable" "worker count"=1
I1019 21:51:07.653759       1 controller.go:220] controllers/controller/networkinterface "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="NetworkInterface" "worker count"=1
I1019 21:51:07.653807       1 controller.go:220] controllers/controller/namespace "msg"="Starting workers" "reconciler group"="servicebus.azure.com" "reconciler kind"="Namespace" "worker count"=1
I1019 21:51:07.653871       1 controller.go:220] controllers/controller/networksecuritygroup "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="NetworkSecurityGroup" "worker count"=1
I1019 21:51:07.653878       1 controller.go:220] controllers/controller/storageaccount "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccount" "worker count"=1
I1019 21:51:07.653957       1 controller.go:220] controllers/controller/signalr "msg"="Starting workers" "reconciler group"="signalrservice.azure.com" "reconciler kind"="SignalR" "worker count"=1
I1019 21:51:07.654580       1 controller.go:220] controllers/controller/storageaccountsblobservice "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsBlobService" "worker count"=1
I1019 21:51:07.654595       1 controller.go:220] controllers/controller/storageaccountsqueueservice "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsQueueService" "worker count"=1
I1019 21:51:07.654617       1 controller.go:220] controllers/controller/workspace "msg"="Starting workers" "reconciler group"="operationalinsights.azure.com" "reconciler kind"="Workspace" "worker count"=1
I1019 21:51:07.655818       1 controller.go:220] controllers/controller/workspacesconnection "msg"="Starting workers" "reconciler group"="machinelearningservices.azure.com" "reconciler kind"="WorkspacesConnection" "worker count"=1
I1019 21:51:07.655824       1 controller.go:220] controllers/controller/storageaccountsmanagementpolicy "msg"="Starting workers" "reconciler group"="storage.azure.com" "reconciler kind"="StorageAccountsManagementPolicy" "worker count"=1
I1019 21:51:07.728244       1 controller.go:220] controllers/controller/redisfirewallrule "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="RedisFirewallRule" "worker count"=1
I1019 21:51:07.728246       1 controller.go:220] controllers/controller/batchaccount "msg"="Starting workers" "reconciler group"="batch.azure.com" "reconciler kind"="BatchAccount" "worker count"=1
I1019 21:51:07.729376       1 controller.go:220] controllers/controller/containergroup "msg"="Starting workers" "reconciler group"="containerinstance.azure.com" "reconciler kind"="ContainerGroup" "worker count"=1
I1019 21:51:07.729392       1 controller.go:220] controllers/controller/virtualmachinescaleset "msg"="Starting workers" "reconciler group"="compute.azure.com" "reconciler kind"="VirtualMachineScaleSet" "worker count"=1
I1019 21:51:07.729415       1 controller.go:220] controllers/controller/redisenterprisedatabase "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="RedisEnterpriseDatabase" "worker count"=1
I1019 21:51:07.730525       1 controller.go:220] controllers/controller/profile "msg"="Starting workers" "reconciler group"="cdn.azure.com" "reconciler kind"="Profile" "worker count"=1
I1019 21:51:07.731597       1 controller.go:220] controllers/controller/configuration "msg"="Starting workers" "reconciler group"="dbformariadb.azure.com" "reconciler kind"="Configuration" "worker count"=1
I1019 21:51:07.731615       1 controller.go:220] controllers/controller/flexibleserver "msg"="Starting workers" "reconciler group"="dbformysql.azure.com" "reconciler kind"="FlexibleServer" "worker count"=1
I1019 21:51:07.732718       1 controller.go:220] controllers/controller/server "msg"="Starting workers" "reconciler group"="dbformariadb.azure.com" "reconciler kind"="Server" "worker count"=1
I1019 21:51:07.732731       1 controller.go:220] controllers/controller/virtualmachine "msg"="Starting workers" "reconciler group"="compute.azure.com" "reconciler kind"="VirtualMachine" "worker count"=1
I1019 21:51:07.733835       1 controller.go:220] controllers/controller/flexibleserversfirewallrule "msg"="Starting workers" "reconciler group"="dbformysql.azure.com" "reconciler kind"="FlexibleServersFirewallRule" "worker count"=1
I1019 21:51:07.733847       1 controller.go:220] controllers/controller/flexibleserversdatabase "msg"="Starting workers" "reconciler group"="dbformysql.azure.com" "reconciler kind"="FlexibleServersDatabase" "worker count"=1
I1019 21:51:07.737089       1 controller.go:220] controllers/controller/database "msg"="Starting workers" "reconciler group"="dbformariadb.azure.com" "reconciler kind"="Database" "worker count"=1
I1019 21:51:07.738201       1 controller.go:220] controllers/controller/flexibleserver "msg"="Starting workers" "reconciler group"="dbforpostgresql.azure.com" "reconciler kind"="FlexibleServer" "worker count"=1
I1019 21:51:07.738202       1 controller.go:220] controllers/controller/managedcluster "msg"="Starting workers" "reconciler group"="containerservice.azure.com" "reconciler kind"="ManagedCluster" "worker count"=1
I1019 21:51:07.738233       1 controller.go:220] controllers/controller/flexibleserversfirewallrule "msg"="Starting workers" "reconciler group"="dbforpostgresql.azure.com" "reconciler kind"="FlexibleServersFirewallRule" "worker count"=1
